"FIPS_Code","Year","State","Avg.Unhealthy.Days","Avg.Max.AQI","Avg.Days.PM2.5","y2_state","Migrants.outflows"
12,2014,"Florida",0.0512820512820513,100.871794871795,100.25641025641,"FL",434785
13,2014,"Georgia",0.03125,103.46875,183.34375,"GA",250183
15,2014,"Hawaii",0.25,126.25,274.25,"HI",57999
16,2014,"Idaho",0.4,115.4,188.8,"ID",47207
17,2014,"Illinois",0,104.521739130435,65.6086956521739,"IL",252389
18,2014,"Indiana",0.0769230769230769,110.820512820513,134.358974358974,"IN",117624
19,2014,"Iowa",0,100.263157894737,168.105263157895,"IA",58970
20,2014,"Kansas",0.0833333333333333,100.833333333333,46.6666666666667,"KS",86832
21,2014,"Kentucky",0.0344827586206897,95.8965517241379,88.3793103448276,"KY",91819
22,2014,"Louisiana",0.0909090909090909,113.545454545455,130.909090909091,"LA",88835
23,2014,"Maine",0,93.2727272727273,62.0909090909091,"ME",24140
24,2014,"Maryland",0,107.25,118.1875,"MD",155632
25,2014,"Massachusetts",0,95.2307692307692,123.461538461538,"MA",123903
26,2014,"Michigan",0.0357142857142857,111.214285714286,114.035714285714,"MI",140941
27,2014,"Minnesota",0,92.8571428571429,169,"MN",90312
28,2014,"Mississippi",0.1,102.9,112.6,"MS",67275
29,2014,"Missouri",0,106.904761904762,111.904761904762,"MO",124600
30,2014,"Montana",0.157894736842105,111.947368421053,171.315789473684,"MT",27893
31,2014,"Nebraska",0,82.0909090909091,94.4545454545455,"NE",42079
32,2014,"Nevada",0.666666666666667,213.888888888889,81.5555555555556,"NV",93798
33,2014,"New Hampshire",0,106.428571428571,84.7142857142857,"NH",35446
34,2014,"New Jersey",0.125,124.25,89.0625,"NJ",193002
35,2014,"New Mexico",0.294117647058824,111.117647058824,65.1176470588235,"NM",64573
36,2014,"New York",0.0689655172413793,103.689655172414,101.413793103448,"NY",371676
37,2014,"North Carolina",0,91.195652173913,129.347826086957,"NC",237070
38,2014,"North Dakota",0,117,56.1111111111111,"ND",27940
39,2014,"Ohio",0.0263157894736842,109.815789473684,132.342105263158,"OH",170745
40,2014,"Oklahoma",0.0454545454545455,106.136363636364,78.5454545454545,"OK",82573
41,2014,"Oregon",0.608695652173913,127.217391304348,289.304347826087,"OR",85360
42,2014,"Pennsylvania",0.105263157894737,111.210526315789,141.263157894737,"PA",204494
44,2014,"Rhode Island",0,106.333333333333,129.333333333333,"RI",26553
45,2014,"South Carolina",0.0526315789473684,89.1578947368421,106.368421052632,"SC",111343
46,2014,"South Dakota",0,90.8888888888889,76.5555555555556,"SD",24221
47,2014,"Tennessee",0,91.5,90.625,"TN",147352
48,2014,"Texas",0.162790697674419,109.906976744186,132.674418604651,"TX",411911
49,2014,"Utah",0.466666666666667,117,52.8666666666667,"UT",72689
50,2014,"Vermont",0,84.5,158.5,"VT",15952
51,2014,"Virginia",0.0285714285714286,78.6857142857143,70.9714285714286,"VA",257689
53,2014,"Washington",0.275862068965517,104.827586206897,288.137931034483,"WA",167489
54,2014,"West Virginia",0,88.4666666666667,85.7333333333333,"WV",36953
55,2014,"Wisconsin",0,113.461538461538,100.692307692308,"WI",91205
56,2014,"Wyoming",0.105263157894737,88.9473684210526,28.4210526315789,"WY",27037
1,2015,"Alabama",0.166666666666667,105.722222222222,145.722222222222,"AL",69378
2,2015,"Alaska",5.125,99.125,158,"AK",25022
4,2015,"Arizona",0.230769230769231,173.692307692308,45.1538461538462,"AZ",120204
5,2015,"Arkansas",0,83.9090909090909,87.9090909090909,"AR",46025
6,2015,"California",4.57407407407407,242.462962962963,111.018518518519,"CA",388394
8,2015,"Colorado",0.161290322580645,109.483870967742,19.6129032258065,"CO",102784
9,2015,"Connecticut",1.25,149.5,105.375,"CT",60493
10,2015,"Delaware",0.333333333333333,129,107.333333333333,"DE",19811
12,2015,"Florida",0,84.5128205128205,107.615384615385,"FL",309354
13,2015,"Georgia",0.125,106.5625,172.90625,"GA",179426
15,2015,"Hawaii",0,72,287.25,"HI",40289
16,2015,"Idaho",2.35,161.5,230.75,"ID",33194
17,2015,"Illinois",0.0869565217391304,103.95652173913,82.8260869565217,"IL",177453
18,2015,"Indiana",0.153846153846154,107.461538461538,133.717948717949,"IN",83576
19,2015,"Iowa",0.105263157894737,104.842105263158,166,"IA",40708
20,2015,"Kansas",0,97,46.8181818181818,"KS",57342
21,2015,"Kentucky",0.142857142857143,101.75,98.6785714285714,"KY",64231
22,2015,"Louisiana",0.136363636363636,108.090909090909,119.636363636364,"LA",64912
23,2015,"Maine",0,98.8333333333333,88.1666666666667,"ME",17712
24,2015,"Maryland",0.1875,124.9375,112.875,"MD",120783
25,2015,"Massachusetts",0.0769230769230769,119,116.384615384615,"MA",89799
26,2015,"Michigan",0.107142857142857,116.357142857143,111,"MI",97747
27,2015,"Minnesota",0.0476190476190476,110.380952380952,161.47619047619,"MN",62453
28,2015,"Mississippi",0,87,121.454545454545,"MS",51320
29,2015,"Missouri",0.0952380952380952,102.761904761905,106,"MO",86755
30,2015,"Montana",4.05263157894737,172.210526315789,177.368421052632,"MT",19103
31,2015,"Nebraska",0,84.3636363636364,105.272727272727,"NE",28652
32,2015,"Nevada",0.444444444444444,133.222222222222,70.3333333333333,"NV",66713
33,2015,"New Hampshire",0.142857142857143,119.142857142857,72.8571428571429,"NH",25366
34,2015,"New Jersey",0.25,132.8125,82.375,"NJ",149229
35,2015,"New Mexico",0.125,88.3125,67.8125,"NM",47287
36,2015,"New York",0,111.724137931034,100.137931034483,"NY",288250
37,2015,"North Carolina",0,88.2045454545455,115.818181818182,"NC",162379
38,2015,"North Dakota",1.5,150,67.7,"ND",21171
39,2015,"Ohio",0.0256410256410256,108.769230769231,123.564102564103,"OH",119437
40,2015,"Oklahoma",0.0434782608695652,96.9565217391304,74.3478260869565,"OK",59772
41,2015,"Oregon",2.30434782608696,165.478260869565,285.739130434783,"OR",62183
42,2015,"Pennsylvania",0.162162162162162,118.162162162162,131.972972972973,"PA",146026
44,2015,"Rhode Island",1,161,144.333333333333,"RI",19457
45,2015,"South Carolina",0,84.3684210526316,83.2631578947368,"SC",78749
46,2015,"South Dakota",0.1,120.4,144.7,"SD",16531
47,2015,"Tennessee",0,89.375,81.9583333333333,"TN",104401
48,2015,"Texas",0.731707317073171,122.365853658537,125.024390243902,"TX",381936
49,2015,"Utah",0.285714285714286,126.642857142857,61.8571428571429,"UT",48493
50,2015,"Vermont",0,95,146.5,"VT",11479
51,2015,"Virginia",0,79.9142857142857,73.8857142857143,"VA",166333
53,2015,"Washington",1.03448275862069,152.655172413793,290.206896551724,"WA",114931
54,2015,"West Virginia",0.0666666666666667,99.6666666666667,83.2,"WV",26816
55,2015,"Wisconsin",0.0740740740740741,109.074074074074,88.7777777777778,"WI",62453
56,2015,"Wyoming",0.210526315789474,110.263157894737,29.3684210526316,"WY",18079
1,2016,"Alabama",0.277777777777778,111.444444444444,116.777777777778,"AL",89926
2,2016,"Alaska",3.28571428571429,88.4285714285714,150.571428571429,"AK",35476
4,2016,"Arizona",0.538461538461538,228.153846153846,36.8461538461538,"AZ",158093
5,2016,"Arkansas",0.0909090909090909,83.5454545454545,84.6363636363636,"AR",60253
6,2016,"California",4.59259259259259,270.203703703704,110.814814814815,"CA",546608
8,2016,"Colorado",0.1875,103.65625,24.78125,"CO",160182
9,2016,"Connecticut",2,164.625,84.5,"CT",84560
