"Year","State","Avg.Unhealthy.Days","Avg.Max.AQI","Avg.Days.PM2.5"
2011,"South Dakota",0,87.1111111111111,79.4444444444444
2011,"Tennessee",0.375,116.083333333333,41.625
2011,"Texas",1.91111111111111,146.733333333333,126.888888888889
2011,"Utah",2.2,134.933333333333,65.1333333333333
2011,"Vermont",0,93,161
2011,"Virgin Islands",0,71,65
2011,"Virginia",0.421052631578947,105.210526315789,70.1315789473684
2011,"Washington",0.433333333333333,98.5333333333333,291.966666666667
2011,"West Virginia",0.2,111.6,94.4666666666667
2011,"Wisconsin",0.366666666666667,122.2,59.8
2011,"Wyoming",0.166666666666667,98.5,32.2777777777778
2012,"Alabama",0.235294117647059,110.235294117647,85.3529411764706
2012,"Alaska",3.125,96.25,153.25
2012,"Arizona",1.23076923076923,170.461538461538,22.4615384615385
2012,"Arkansas",0.285714285714286,103.428571428571,81.1428571428571
2012,"California",6.83333333333333,288.703703703704,110.759259259259
2012,"Colorado",0.870967741935484,125.806451612903,15.4838709677419
2012,"Connecticut",3.25,170.25,117.5
2012,"Country Of Mexico",5.5,333,0
